label,area,peri,verts,circularity,solidity
PENTAGON,9440.0,376.16652059555054,6,0.8383426830456888,0.9919613303210214
CLOVER,10217.0,430.1076455116272,6,0.6940311005867094,0.9598384142045188
SPHERE,7454.0,404.16652059555054,10,0.5734275852635209,0.9354919678714859
PENTAGON,9136.5,369.8406196832657,6,0.8393836516279648,0.9983609244386166
CUBE,9448.0,387.3137083053589,4,0.7914509630592035,0.9933238711034011
CUBE,9516.0,389.79898953437805,4,0.7870147637472369,0.9902700452677038
CLOVER,9513.5,406.61017167568207,4,0.7230922539424255,0.9733974522944697
PENTAGON,8398.5,403.4385987520218,6,0.6484204408223081,0.9435456690259522
PENTAGON,8405.0,401.1959581375122,6,0.6561973673695429,0.9462958793064625
SPHERE,8283.5,344.8944424390793,8,0.875087233476201,0.9929872932150563
CLOVER,9514.5,406.61017167568207,4,0.7231682609066283,0.9731512733967475
SPHERE,7919.0,340.85281229019165,6,0.8565376227761442,0.9945368916797488
PENTAGON,8397.0,399.1959581375122,6,0.6621581768097161,0.9477961510243241
CLOVER,9712.0,451.0782079696655,10,0.5998115784910756,0.9250404800457186
CUBE,11270.5,421.55634891986847,4,0.7969696416404863,0.9994679200106416
CUBE,10831.0,417.79898953437805,4,0.7797289323272057,0.9902628571428571
CLOVER,10343.5,427.722869515419,5,0.7104809524870861,0.9708104556760054
PENTAGON,8987.0,368.08326029777527,5,0.8335515657761866,0.991559552049429
CUBE,9427.0,386.48528122901917,4,0.7930808310499946,0.997355057130766
SPHERE,7656.5,331.92387998104095,6,0.8732993842024677,0.9948674636174636
PENTAGON,9206.5,370.46803629398346,5,0.842952173625314,0.9948670845039983
SPHERE,8318.5,345.23758828639984,7,0.8770386583579589,0.9935503135264258
CLOVER,9552.5,407.4385987520218,4,0.7231070092260491,0.9723635993485342
SPHERE,7916.5,340.2670258283615,6,0.8592179671205223,0.9955357142857143
PENTAGON,8376.5,385.4385987520218,6,0.7085362089134053,0.9606077981651376
CLOVER,9679.0,435.5634891986847,11,0.6411171839852695,0.9288421860755242
CUBE,11109.5,418.72792184352875,4,0.796233661594114,0.9967252826125964
CUBE,10742.5,414.87005722522736,4,0.7843159443708645,0.9908227264342372
CLOVER,10380.0,434.45079135894775,7,0.6910763523232029,0.9537811265276118
PENTAGON,8925.0,372.08326029777527,6,0.8100984942636772,0.9894678492239468
CUBE,9405.5,387.55634891986847,4,0.7869045202544981,0.9950804062632247
SPHERE,7561.5,331.09545290470123,6,0.8667850011614499,0.9944108364018938
PENTAGON,9197.0,369.8822498321533,5,0.8447516900740045,0.9951309240424151
CUBE,9914.0,395.3137083053589,4,0.7972142064899257,0.9967826261813795
SPHERE,8014.5,340.4091612100601,7,0.8691281538673842,0.9937383756974582
SPHERE,8106.5,341.5807341337204,6,0.8730849778228358,0.9955787534540989
SPHERE,7417.5,329.4385987520218,7,0.8588522444702972,0.9943029490616622
CLOVER,10136.0,476.73506212234497,9,0.5604311652510606,0.9084065244667503
CLOVER,10425.5,437.9482651948929,10,0.6830635893820693,0.9497585861346451
CLOVER,10291.0,433.5634891986847,6,0.6879581766842723,0.9582382792494996
PENTAGON,9619.0,380.6518018245697,5,0.8342265528131007,0.9937496771527455
CUBE,9508.5,389.0710676908493,4,0.7893398000193402,0.9967503537921275
CUBE,9201.0,383.65685415267944,4,0.7855231198285951,0.9954021745010007
PENTAGON,9212.0,369.53910398483276,6,0.8477015756923765,0.9916038751345533
PENTAGON,9518.5,375.63960921764374,6,0.8476871857828442,0.996597214951314
CUBE,9961.5,399.0710676908493,4,0.7860209425302558,0.9981462925851703
CLOVER,9196.0,416.6518018245697,9,0.6656750783135782,0.9535462463708005
CUBE,9671.5,395.0710676908493,4,0.7786696506543677,0.9908816146713796
SPHERE,7110.5,324.9533175230026,6,0.8461903231103303,0.9928092711533091
CLOVER,10177.0,428.2497808933258,7,0.6973251672477957,0.9477997671711292
CLOVER,9515.0,424.8771975040436,12,0.662356509811579,0.9344463540387921
PENTAGON,9328.0,374.6518018245697,5,0.835108204126591,0.9917074207952371
SPHERE,8637.5,352.3502861261368,8,0.8742762230295136,0.9884419522801396
CUBE,9442.0,386.48528122901917,4,0.7943427608755753,0.9975699947173798
PENTAGON,8903.5,368.1248904466629,6,0.8256201072790039,0.9847915053644508
SPHERE,7956.5,337.5807341337204,6,0.877357563786807,0.9959319063712605
PENTAGON,9159.5,372.46803629398346,5,0.8296666104279465,0.9919319904700021
CLOVER,9198.5,404.4091612100601,7,0.7067810653122607,0.9587763185324161
SPHERE,7560.0,333.1959581375122,6,0.8557210403318218,0.9953917050691244
SPHERE,7710.5,385.09545290470123,7,0.6533646361526996,0.9559853697848862
CUBE,10425.5,404.72792184352875,4,0.7997982003099032,0.9977032393894445
CLOVER,9795.5,414.2670258283615,4,0.7172585603964533,0.9687005537974683
CLOVER,9199.0,407.3380935192108,4,0.6966913686145012,0.9576306475119717
SPHERE,7740.5,361.4385987520218,8,0.7445773472039408,0.9721803566942979
CUBE,11149.0,418.97056245803833,4,0.7981394177403139,0.9977626633255773
CLOVER,9360.0,423.22034335136414,11,0.6566782654591248,0.9323637812531128
PENTAGON,9307.0,374.99494767189026,5,0.8317039133682211,0.9935945340023487
PENTAGON,9432.5,377.5807341337204,6,0.831413409605137,0.9891982591369094
CUBE,9153.0,383.3137083053589,4,0.782824887570337,0.9904236325271871
SPHERE,7854.5,338.7523070573807,7,0.8601295827791562,0.9909165457642086
SPHERE,7655.5,334.2670258283615,6,0.8609865169186226,0.9959669550510636
PENTAGON,8802.0,366.56854152679443,5,0.8231535302159403,0.9890443283330524
CUBE,10294.5,403.55634891986847,4,0.7943405871389692,0.9964187194502251
CLOVER,9741.5,414.2670258283615,4,0.7133045037110969,0.9710910631510741
CLOVER,9257.0,407.82337474823,4,0.6994165417746779,0.9562028716041732
SPHERE,8032.0,414.85281229019165,7,0.5864695752269141,0.9377152530500262
CUBE,11048.5,419.899494767189,4,0.7874490798814667,0.9962578899909829
CLOVER,9398.5,425.8061298131943,8,0.651395256178121,0.933224108827326
PENTAGON,9342.0,374.99494767189026,5,0.8348316276658346,0.995577343208824
PENTAGON,9354.5,377.23758828639984,5,0.8260389461097047,0.9879079100221776
CUBE,9041.5,384.3847759962082,4,0.7689852213646384,0.9936260234078795
SPHERE,7868.5,337.5807341337204,7,0.8676538667324188,0.9914944556451613
SPHERE,7716.5,337.09545290470123,6,0.8533445828259398,0.9942662028089164
PENTAGON,8861.5,367.63960921764374,5,0.8238962274061506,0.9883999776922648
CUBE,10369.0,405.3137083053589,4,0.7931661172121802,0.9960136400749243
CLOVER,9829.5,415.4385987520218,4,0.7156943711445992,0.9707668757098414
CLOVER,9352.0,410.6518018245697,7,0.6968942748714761,0.9566284779050737
SPHERE,7833.0,376.5096664428711,8,0.6943616543365254,0.9672758705853297
CUBE,11060.0,420.1421353816986,4,0.787358488825288,0.9976097054976774
CLOVER,9396.0,425.22034335136414,8,0.6530174767463794,0.9329295536911085
PENTAGON,9338.5,375.5807341337204,5,0.8319177184320853,0.995257380368752
PENTAGON,9357.5,378.4091612100601,6,0.8211952255931563,0.9772845953002611
CUBE,9076.5,380.72792184352875,4,0.7868624475764784,0.9945214485290089
SPHERE,7875.5,337.5807341337204,7,0.8684257517253815,0.9915643689014794
SPHERE,7719.0,336.5096664428711,6,0.85659555556002,0.9945242543322811
PENTAGON,8858.0,367.39696860313416,5,0.8246589994006698,0.9904953594990495
CUBE,10199.5,401.899494767189,4,0.7935125975161567,0.996044921875
CLOVER,8845.0,406.30865597724915,7,0.6732797492334799,0.9485254691689008
CLOVER,8896.0,405.3380935192108,7,0.6804086047893022,0.9504781238314013
CLOVER,8952.0,416.16652059555054,9,0.649524681282505,0.9481042152086422
CUBE,11065.5,419.55634891986847,4,0.7899512882854225,0.991976692066338
SPHERE,8444.5,344.69343197345734,8,0.8931363964342125,0.9937044010355378
PENTAGON,9308.0,373.82337474823,5,0.8370151734558262,0.9938073884262225
PENTAGON,9564.0,392.99494767189026,7,0.7781718156623063,0.9591816267174806
